sample_index,sample_id,relative_path,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_m,bottom_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,center_depth_m,density_contrast,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
56,sample_000056,samples/sample_000056.npz,16,28,45,49,3,7,12,4,4,30.0,70.0,120.0,40.0,40.0,215.0,465.0,50.0,0.486115979181251,7.555402407888323e-05,0.16013896465301514,0.005210479721426964,0.016346754506230354
57,sample_000057,samples/sample_000057.npz,25,37,10,17,7,10,12,7,3,70.0,100.0,120.0,70.0,30.0,305.0,130.0,85.0,0.5594899990243611,0.00021560840832535177,0.10050405561923981,0.00706881657242775,0.014339725486934185
58,sample_000058,samples/sample_000058.npz,14,22,41,49,4,8,8,8,4,40.0,80.0,80.0,80.0,40.0,175.0,445.0,60.0,0.34211798854958697,8.040695684030652e-05,0.12014316767454147,0.004740975797176361,0.013144833035767078
59,sample_000059,samples/sample_000059.npz,44,53,31,40,2,10,9,9,8,20.0,100.0,90.0,90.0,80.0,480.0,350.0,60.0,0.9400558586085401,0.0006661443621851504,0.868538498878479,0.03311600908637047,0.09507834911346436
60,sample_000060,samples/sample_000060.npz,32,40,26,33,4,12,8,7,8,40.0,120.0,80.0,70.0,80.0,355.0,290.0,80.0,0.36709982204022884,0.00037344908923842013,0.1660802662372589,0.008652760647237301,0.019441120326519012
61,sample_000061,samples/sample_000061.npz,16,30,46,53,4,9,14,7,5,40.0,90.0,140.0,70.0,50.0,225.0,490.0,65.0,0.6081998361800318,0.000297862890874967,0.30267035961151123,0.01583677902817726,0.039166562259197235
62,sample_000062,samples/sample_000062.npz,9,22,27,42,2,7,13,15,5,20.0,70.0,130.0,150.0,50.0,150.0,340.0,45.0,0.9681046825162396,0.0008064212743192911,1.0362740755081177,0.05342817306518555,0.14952969551086426
63,sample_000063,samples/sample_000063.npz,34,45,10,21,5,10,11,11,5,50.0,100.0,110.0,110.0,50.0,390.0,150.0,75.0,0.532191217820781,0.00039693067083135247,0.26378771662712097,0.01668698899447918,0.03673500567674637
64,sample_000064,samples/sample_000064.npz,30,37,20,27,7,12,7,7,5,70.0,120.0,70.0,70.0,50.0,330.0,230.0,95.0,0.33894776967550994,0.0001961874804692343,0.05672403797507286,0.004177785012871027,0.00781450979411602
65,sample_000065,samples/sample_000065.npz,39,45,24,28,3,5,6,4,2,30.0,50.0,60.0,40.0,20.0,415.0,255.0,40.0,0.3186383439866961,1.2968533155799378e-05,0.047645773738622665,0.0008856370695866644,0.003553139977157116
66,sample_000066,samples/sample_000066.npz,34,49,9,16,3,6,15,7,3,30.0,60.0,150.0,70.0,30.0,410.0,120.0,45.0,0.4180529396309754,8.535249799024314e-05,0.1883782595396042,0.007378367707133293,0.022704511880874634
67,sample_000067,samples/sample_000067.npz,29,45,34,47,5,13,16,13,8,50.0,130.0,160.0,130.0,80.0,365.0,400.0,90.0,0.602553111985221,0.0020459555089473724,0.5496573448181152,0.05092039704322815,0.09067167341709137
68,sample_000068,samples/sample_000068.npz,22,35,11,20,6,10,13,9,4,60.0,100.0,130.0,90.0,40.0,280.0,150.0,80.0,0.8692397290182241,0.0005914088105782866,0.29817304015159607,0.020848330110311508,0.0431111603975296
69,sample_000069,samples/sample_000069.npz,35,49,36,48,4,9,14,12,5,40.0,90.0,140.0,120.0,50.0,415.0,415.0,65.0,0.5565470437089544,0.0005722062778659165,0.4003434479236603,0.025210045278072357,0.057801585644483566
70,sample_000070,samples/sample_000070.npz,41,50,40,47,2,4,9,7,2,20.0,40.0,90.0,70.0,20.0,450.0,430.0,30.0,0.22753479532929888,1.4033774277777411e-05,0.08335504680871964,0.0016926223179325461,0.007390530314296484
71,sample_000071,samples/sample_000071.npz,44,54,36,52,3,8,10,16,5,30.0,80.0,100.0,160.0,50.0,485.0,435.0,55.0,0.950196374718226,0.0006078750593587756,0.7745826244354248,0.04146457463502884,0.10781200975179672
72,sample_000072,samples/sample_000072.npz,24,39,42,54,5,12,15,12,7,50.0,120.0,150.0,120.0,70.0,310.0,475.0,85.0,0.9044379796086117,0.0019304364686831832,0.7017310857772827,0.057686977088451385,0.11081361025571823
73,sample_000073,samples/sample_000073.npz,40,46,8,15,4,10,6,7,6,40.0,100.0,60.0,70.0,60.0,425.0,110.0,70.0,0.960857141891585,0.0002256446605315432,0.3062729239463806,0.01249866932630539,0.032983340322971344
74,sample_000074,samples/sample_000074.npz,16,26,36,49,8,14,10,13,6,80.0,140.0,100.0,130.0,60.0,205.0,420.0,110.0,0.2936956257509941,0.0004420211771503091,0.10404569655656815,0.010847634635865688,0.01731172762811184
75,sample_000075,samples/sample_000075.npz,17,28,32,40,7,11,11,8,4,70.0,110.0,110.0,80.0,40.0,220.0,355.0,90.0,0.7011835364614531,0.0004995742347091436,0.1639825701713562,0.012536474503576756,0.023676209151744843
76,sample_000076,samples/sample_000076.npz,39,48,39,46,7,11,9,7,4,70.0,110.0,90.0,70.0,40.0,430.0,420.0,90.0,0.34369209335569,0.00013584637781605124,0.06134062632918358,0.0043448940850794315,0.008523869328200817
77,sample_000077,samples/sample_000077.npz,14,28,37,42,8,14,14,5,6,80.0,140.0,140.0,50.0,60.0,205.0,390.0,110.0,0.5529939983760436,0.00048810525913722813,0.11069215834140778,0.01107189804315567,0.01782139390707016
78,sample_000078,samples/sample_000078.npz,25,36,36,46,4,7,11,10,3,40.0,70.0,110.0,100.0,30.0,300.0,405.0,55.0,0.3314512381757112,0.00015123639605008066,0.13372598588466644,0.006105348933488131,0.01640794612467289
79,sample_000079,samples/sample_000079.npz,11,19,8,12,2,5,8,4,3,20.0,50.0,80.0,40.0,30.0,145.0,95.0,35.0,0.9637463281967422,3.611523061408661e-05,0.31449389457702637,0.0052723693661391735,0.023585524410009384
80,sample_000080,samples/sample_000080.npz,32,45,33,41,2,7,13,8,5,20.0,70.0,130.0,80.0,50.0,380.0,365.0,45.0,0.4787336263885227,0.0002760804782155901,0.3911345601081848,0.014267809689044952,0.044789958745241165
81,sample_000081,samples/sample_000081.npz,33,41,12,27,2,5,8,15,3,20.0,50.0,80.0,150.0,30.0,365.0,190.0,35.0,0.5745234338916141,0.0001472732110414654,0.3516024351119995,0.012095091864466667,0.04157901555299759
82,sample_000082,samples/sample_000082.npz,22,26,25,31,8,11,4,6,3,80.0,110.0,40.0,60.0,30.0,235.0,275.0,95.0,0.49145527256784505,7.878812175476924e-05,0.024948833510279655,0.0017796456813812256,0.0033520066644996405
83,sample_000083,samples/sample_000083.npz,9,21,29,39,3,9,12,10,6,30.0,90.0,120.0,100.0,60.0,145.0,335.0,60.0,0.22406604491713944,0.00018125100177712739,0.18081018328666687,0.008749316446483135,0.022880151867866516
84,sample_000084,samples/sample_000084.npz,40,49,39,47,7,9,9,8,2,70.0,90.0,90.0,80.0,20.0,440.0,425.0,80.0,0.6772901445738391,0.0001309915242018178,0.0803525522351265,0.005016267765313387,0.010718083009123802
85,sample_000085,samples/sample_000085.npz,11,15,35,43,5,11,4,8,6,50.0,110.0,40.0,80.0,60.0,125.0,385.0,80.0,0.9953341064435577,0.00023355524172075093,0.19267027080059052,0.009687349200248718,0.02250000461935997
86,sample_000086,samples/sample_000086.npz,41,45,10,17,4,11,4,7,7,40.0,110.0,40.0,70.0,70.0,425.0,130.0,75.0,0.9456680134255657,0.00019545273971743882,0.2277006357908249,0.009510106407105923,0.02409433014690876
87,sample_000087,samples/sample_000087.npz,14,30,25,34,2,4,16,9,2,20.0,40.0,160.0,90.0,20.0,215.0,290.0,30.0,0.8278355245381428,0.00017107765597756952,0.3955526351928711,0.014157643541693687,0.04977313056588173
88,sample_000088,samples/sample_000088.npz,11,27,19,35,2,7,16,16,5,20.0,70.0,160.0,160.0,50.0,185.0,265.0,45.0,0.872033054049786,0.0010086444672197104,1.0238852500915527,0.06348108500242233,0.1644914448261261
89,sample_000089,samples/sample_000089.npz,25,40,10,17,3,5,15,7,2,30.0,50.0,150.0,70.0,20.0,320.0,130.0,40.0,0.32708311713986654,5.093942309031263e-05,0.1084960326552391,0.003930317237973213,0.012782356701791286
90,sample_000090,samples/sample_000090.npz,31,35,39,44,7,9,4,5,2,70.0,90.0,40.0,50.0,20.0,325.0,410.0,80.0,0.3374063972261927,2.6544272259343415e-05,0.013144530355930328,0.000705835351254791,0.0015606054803356528
91,sample_000091,samples/sample_000091.npz,31,37,40,54,8,13,6,14,5,80.0,130.0,60.0,140.0,50.0,335.0,465.0,105.0,0.314051292974615,0.0002719032927416265,0.06643277406692505,0.006322049535810947,0.010596765205264091
92,sample_000092,samples/sample_000092.npz,14,30,25,30,8,16,16,5,8,80.0,160.0,160.0,50.0,80.0,215.0,270.0,120.0,0.3527865265552321,0.000579022744204849,0.09173300117254257,0.010532079264521599,0.01554416585713625
93,sample_000093,samples/sample_000093.npz,46,51,39,47,2,4,5,8,2,20.0,40.0,50.0,80.0,20.0,480.0,425.0,30.0,0.7512071158293232,2.7273739760858007e-05,0.21804477274417877,0.0035381666384637356,0.01667553000152111
94,sample_000094,samples/sample_000094.npz,18,28,35,43,4,9,10,8,5,40.0,90.0,100.0,80.0,50.0,225.0,385.0,65.0,0.22300732516634592,0.00012244482059031725,0.10322016477584839,0.0048395865596830845,0.012201785109937191
95,sample_000095,samples/sample_000095.npz,26,32,42,53,3,8,6,11,5,30.0,80.0,60.0,110.0,50.0,285.0,470.0,55.0,0.4337700634644878,0.00015115416317712516,0.2160525619983673,0.007906044833362103,0.023183897137641907
96,sample_000096,samples/sample_000096.npz,45,54,30,44,3,10,9,14,7,30.0,100.0,90.0,140.0,70.0,490.0,365.0,65.0,0.30725299857992516,0.0002996442199219018,0.2691423296928406,0.014454620890319347,0.03569471836090088
97,sample_000097,samples/sample_000097.npz,17,22,27,38,7,10,5,11,3,70.0,100.0,50.0,110.0,30.0,190.0,320.0,85.0,0.38162406129919557,0.00011992922372883186,0.047624703496694565,0.0032271649688482285,0.006513329688459635
98,sample_000098,samples/sample_000098.npz,16,30,31,41,7,14,14,10,7,70.0,140.0,140.0,100.0,70.0,225.0,355.0,105.0,0.5784619057172555,0.0013504476519301534,0.2764545679092407,0.027646822854876518,0.0449642613530159
99,sample_000099,samples/sample_000099.npz,13,17,17,21,4,7,4,4,3,40.0,70.0,40.0,40.0,30.0,145.0,185.0,55.0,0.8294001997182849,3.07567861455027e-05,0.08229729533195496,0.002173603279516101,0.007030193228274584
100,sample_000100,samples/sample_000100.npz,13,17,29,42,2,7,4,13,5,20.0,70.0,40.0,130.0,50.0,145.0,350.0,45.0,0.8666723554680504,0.0001828296371968463,0.43813419342041016,0.012759475968778133,0.04327434301376343
101,sample_000101,samples/sample_000101.npz,13,21,43,56,5,8,8,13,3,50.0,80.0,80.0,130.0,30.0,165.0,490.0,65.0,0.4764147715662276,0.0001274786191061139,0.1472640037536621,0.007805453147739172,0.01930030807852745
102,sample_000102,samples/sample_000102.npz,37,47,16,27,4,9,10,11,5,40.0,90.0,100.0,110.0,50.0,415.0,210.0,65.0,0.5703672773877432,0.0003765998990274966,0.32336828112602234,0.016919098794460297,0.04140661284327507
103,sample_000103,samples/sample_000103.npz,39,53,23,30,6,10,14,7,4,60.0,100.0,140.0,70.0,40.0,455.0,260.0,80.0,0.9970838266696098,0.0005865316488780081,0.29165521264076233,0.020153457298874855,0.04158401861786842
104,sample_000104,samples/sample_000104.npz,23,33,36,50,2,5,10,14,3,20.0,50.0,100.0,140.0,30.0,275.0,425.0,35.0,0.29018999468979223,9.389359911438078e-05,0.19380928575992584,0.007140288595110178,0.023956410586833954
105,sample_000105,samples/sample_000105.npz,18,31,29,42,3,6,13,13,3,30.0,60.0,130.0,130.0,30.0,240.0,350.0,45.0,0.3438520567611396,0.00019724402227438986,0.20600174367427826,0.009985488839447498,0.028063956648111343
106,sample_000106,samples/sample_000106.npz,29,40,25,32,7,9,11,7,2,70.0,90.0,110.0,70.0,20.0,340.0,280.0,80.0,0.6076186970277863,0.00021803057461511344,0.0744275152683258,0.004918867722153664,0.010129044763743877
107,sample_000107,samples/sample_000107.npz,46,53,41,55,7,10,7,14,3,70.0,100.0,70.0,140.0,30.0,490.0,475.0,85.0,0.2618071885553499,8.351422002306208e-05,0.0518588162958622,0.003778764046728611,0.007707278244197369
108,sample_000108,samples/sample_000108.npz,31,47,43,55,5,7,16,12,2,50.0,70.0,160.0,120.0,20.0,385.0,485.0,60.0,0.6914738976110106,0.0002641415339894593,0.22300460934638977,0.01434231735765934,0.03352121263742447
109,sample_000109,samples/sample_000109.npz,28,38,27,34,4,9,10,7,5,40.0,90.0,100.0,70.0,50.0,325.0,300.0,65.0,0.5369377491873798,0.00040497450390830636,0.2240285873413086,0.010280712507665157,0.025955965742468834
110,sample_000110,samples/sample_000110.npz,15,22,25,31,2,7,7,6,5,20.0,70.0,70.0,60.0,50.0,180.0,275.0,45.0,0.4635946621396003,8.749558037379757e-05,0.24214915931224823,0.005547264125198126,0.02037854492664337
111,sample_000111,samples/sample_000111.npz,33,37,23,31,5,13,4,8,8,50.0,130.0,40.0,80.0,80.0,345.0,265.0,90.0,0.753745409757403,0.00046475278213620186,0.16694959998130798,0.009883159771561623,0.020214583724737167
112,sample_000112,samples/sample_000112.npz,9,22,25,30,8,13,13,5,5,80.0,130.0,130.0,50.0,50.0,150.0,270.0,105.0,0.5648137652792543,0.0003371283528394997,0.09522973001003265,0.008728922344744205,0.01495867595076561
113,sample_000113,samples/sample_000113.npz,45,55,20,30,5,9,10,10,4,50.0,90.0,100.0,100.0,40.0,495.0,245.0,70.0,0.5933520521682216,0.0002643454063218087,0.22579079866409302,0.012425080873072147,0.029354151338338852
114,sample_000114,samples/sample_000114.npz,41,56,27,43,8,10,15,16,2,80.0,100.0,150.0,160.0,20.0,480.0,345.0,90.0,0.6724820537541432,0.0005374311585910618,0.1580159068107605,0.016011083498597145,0.02775302529335022
115,sample_000115,samples/sample_000115.npz,40,52,40,54,4,6,12,14,2,40.0,60.0,120.0,140.0,20.0,455.0,465.0,50.0,0.735970250652668,0.00018085871124640107,0.2667333781719208,0.013703348115086555,0.03687179088592529
116,sample_000116,samples/sample_000116.npz,44,49,22,35,7,13,5,13,6,70.0,130.0,50.0,130.0,60.0,460.0,280.0,100.0,0.4886402766409633,0.0003644969256129116,0.10945853590965271,0.009297286160290241,0.01651213876903057
