sample_index,relative_path,body_name,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_index,bottom_depth_index,center_x_index,center_y_index,center_z_index,density_contrast,nonzero_density_cells,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
39,samples/sample_000039.npz,rectangular_body_000039,38,42,26,34,6,10,4,8,4,6,10,40.0,30.0,8.0,0.6625174941681033,128,0.0003332773044005361,0.0714527748201418,0.005820285421529385,0.0076191402813941995
40,samples/sample_000040.npz,rectangular_body_000040,29,40,32,48,9,12,11,16,3,9,12,34.5,40.0,10.5,0.6522510296859483,528,0.0017134512814624562,0.14008545274489173,0.02138813454633126,0.02106983033866915
41,samples/sample_000041.npz,rectangular_body_000041,24,39,21,25,3,8,15,4,5,3,8,31.5,23.0,5.5,0.20777721073326233,300,0.00017907183987979892,0.07379845375862147,0.004654865343356594,0.0073534793765051825
42,samples/sample_000042.npz,rectangular_body_000042,22,28,40,49,2,7,6,9,5,2,7,25.0,44.5,4.5,0.3092615172089288,270,0.0001383987514973073,0.15875023197667207,0.006318415020425341,0.012265253869885931
43,samples/sample_000043.npz,rectangular_body_000043,29,36,28,43,5,8,7,15,3,5,8,32.5,35.5,6.5,0.9297482914906869,315,0.0012692596028930875,0.2523217116044879,0.021380439902305187,0.029078678445724114
44,samples/sample_000044.npz,rectangular_body_000044,22,29,18,32,13,20,7,14,7,13,20,25.5,25.0,16.5,0.8129409408729518,686,0.00349421272383934,0.12065229825009599,0.0277370111835528,0.020248586099896375
45,samples/sample_000045.npz,rectangular_body_000045,33,39,10,19,4,11,6,9,7,4,11,36.0,14.5,7.5,0.585696214499613,378,0.0005206459555144626,0.2136787029049678,0.014340148170157167,0.021875645167317867
46,samples/sample_000046.npz,rectangular_body_000046,26,42,47,61,6,8,16,14,2,6,8,34.0,54.0,7.0,0.5160173040865819,448,0.0004586089555828347,0.1436219263551788,0.0138770325586327,0.02062232183516613
47,samples/sample_000047.npz,rectangular_body_000047,9,14,53,62,6,8,5,9,2,6,8,11.5,57.5,7.0,0.8157948341691554,90,7.910496960118545e-05,0.07195864374891378,0.0035663371633168107,0.007365835945660659
48,samples/sample_000048.npz,rectangular_body_000048,38,50,14,18,8,11,12,4,3,8,11,44.0,16.0,9.5,0.33976363172654256,144,0.00011845837109638367,0.02777199870605714,0.0028677467577101325,0.0037013040387518974
49,samples/sample_000049.npz,rectangular_body_000049,13,27,18,23,3,8,14,5,5,3,8,20.0,20.5,5.5,0.7705323508373183,350,0.00046885810733225707,0.3262405180960451,0.019304474948619574,0.03240052675777247
50,samples/sample_000050.npz,rectangular_body_000050,28,44,29,39,6,14,16,10,8,6,14,36.0,34.0,10.0,0.34452026054367046,1280,0.0025240886243395964,0.20780698660115535,0.02839723921387176,0.029229727964581245
51,samples/sample_000051.npz,rectangular_body_000051,17,22,42,55,3,9,5,13,6,3,9,19.5,48.5,6.0,0.9579506174671706,390,0.0005815557073813425,0.43446311108114066,0.025131851822661193,0.04323413898931002
52,samples/sample_000052.npz,rectangular_body_000052,10,16,16,28,14,16,6,12,2,14,16,13.0,22.0,15.0,0.8023777904824065,144,0.0003960693090827482,0.02941751437013141,0.005251409051323262,0.005133431735900258
53,samples/sample_000053.npz,rectangular_body_000053,43,48,20,32,11,15,5,12,4,11,15,45.5,26.0,13.0,0.734401532534041,240,0.0007341150966952396,0.05894873896124475,0.009556966546242837,0.009155606887533016
54,samples/sample_000054.npz,rectangular_body_000054,10,19,5,18,16,19,9,13,3,16,19,14.5,11.5,17.5,0.589703997106479,351,0.0006259401504162857,0.03914635330216327,0.0076188368713292,0.007518945664849527
55,samples/sample_000055.npz,rectangular_body_000055,21,29,35,40,8,13,8,5,5,8,13,25.0,37.5,10.5,0.47082622661936213,200,0.0004274077118036722,0.049586405717381585,0.005885587807917191,0.006330552845637773
56,samples/sample_000056.npz,rectangular_body_000056,13,25,49,53,5,9,12,4,4,5,9,19.0,51.0,7.0,0.486115979181251,192,0.00015090883606030587,0.08667464092817248,0.00581553886916527,0.009515630093928668
57,samples/sample_000057.npz,rectangular_body_000057,24,36,5,12,13,16,12,7,3,13,16,30.0,8.5,14.5,0.5594899990243611,252,0.0004898388614323632,0.03809344841533789,0.006112978013337481,0.006396921085184215
58,samples/sample_000058.npz,rectangular_body_000058,10,18,45,53,7,11,8,8,4,7,11,14.0,49.0,9.0,0.34211798854958697,256,0.00016273862726738636,0.056589856732550174,0.004864080549601806,0.007180227807626682
59,samples/sample_000059.npz,rectangular_body_000059,49,58,32,41,3,11,9,9,8,3,11,53.5,36.5,7.0,0.9400558586085401,648,0.0011369046751980375,0.6233011761738769,0.03766445081354874,0.06383386016548256
60,samples/sample_000060.npz,rectangular_body_000060,33,41,25,32,6,14,8,7,8,6,14,37.0,28.5,10.0,0.36709982204022884,448,0.000835243995110968,0.09886624839546257,0.010601214983841633,0.011821274370467025
61,samples/sample_000061.npz,rectangular_body_000061,13,27,51,58,8,13,14,7,5,8,13,20.0,54.5,10.5,0.6081998361800318,490,0.0006350906249344641,0.13686395088340236,0.014880517070527555,0.020063357064143906
62,samples/sample_000062.npz,rectangular_body_000062,3,16,28,43,2,7,13,15,5,2,7,9.5,35.5,4.5,0.9681046825162396,975,0.0011869660594487116,0.9580611422626952,0.06288854510491143,0.11799843080974802
63,samples/sample_000063.npz,rectangular_body_000063,36,47,5,16,8,13,11,11,5,8,13,41.5,10.5,10.5,0.532191217820781,605,0.0007601784899949735,0.14758107481671207,0.01669150210228959,0.02158155577592769
64,samples/sample_000064.npz,rectangular_body_000064,30,37,17,24,14,19,7,7,5,14,19,33.5,20.5,16.5,0.33894776967550994,245,0.0005148826845635692,0.018759844304512975,0.004074267941423227,0.0031157673970764314
65,samples/sample_000065.npz,rectangular_body_000065,41,47,22,26,4,6,6,4,2,4,6,44.0,24.0,5.0,0.3186383439866961,48,2.736743772096038e-05,0.028091293114611983,0.0011364119613601848,0.002112972236843579
66,samples/sample_000066.npz,rectangular_body_000066,38,53,3,10,4,7,15,7,3,4,7,45.5,6.5,5.5,0.4180529396309754,315,0.00013709520315663328,0.1380426358517013,0.007475802968173618,0.015084252491190641
67,samples/sample_000067.npz,rectangular_body_000067,31,47,36,49,8,16,16,13,8,8,16,39.0,42.5,12.0,0.602553111985221,1664,0.004274235241744067,0.341121872921502,0.057402532340254726,0.0544943985732881
68,samples/sample_000068.npz,rectangular_body_000068,21,34,6,15,12,16,13,9,4,12,16,27.5,10.5,14.0,0.8692397290182241,468,0.0013970020122279917,0.11434752059191913,0.018739545724195915,0.019312715792439126
69,samples/sample_000069.npz,rectangular_body_000069,38,52,40,52,8,13,14,12,5,8,13,45.0,46.0,10.5,0.5565470437089544,840,0.0012890832474310157,0.19768625904591777,0.026476202828076098,0.030481151014356174
70,samples/sample_000070.npz,rectangular_body_000070,46,55,43,50,2,4,9,7,2,2,4,50.5,46.5,3.0,0.22753479532929888,126,2.136543796596563e-05,0.0730323907898785,0.0021361167826393105,0.005235650677023028
71,samples/sample_000071.npz,rectangular_body_000071,50,60,41,57,6,11,10,16,5,6,11,55.0,49.0,8.5,0.950196374718226,800,0.0011596610971649109,0.4284128397435475,0.03858554924206331,0.06116026254882945
72,samples/sample_000072.npz,rectangular_body_000072,24,39,47,59,10,17,15,12,7,10,17,31.5,53.0,13.5,0.9044379796086117,1260,0.00428266102330648,0.32841414166141797,0.05431357478698336,0.05576177885603169
73,samples/sample_000073.npz,rectangular_body_000073,44,50,2,9,7,13,6,7,6,7,13,47.0,5.5,10.0,0.960857141891585,252,0.0004009660672737656,0.1427459666563239,0.010700261247584908,0.017342306202894453
74,samples/sample_000074.npz,rectangular_body_000074,13,23,39,52,15,21,10,13,6,15,21,18.0,45.5,18.0,0.2936956257509941,780,0.0009632330335727122,0.04155596751320653,0.009649570025386163,0.007843929615476702
75,samples/sample_000075.npz,rectangular_body_000075,14,25,34,42,13,17,11,8,4,13,17,19.5,38.0,15.0,0.7011835364614531,352,0.0011994380550611624,0.06337360560324341,0.012504697171196061,0.010545594221091184
76,samples/sample_000076.npz,rectangular_body_000076,42,51,42,49,13,17,9,7,4,13,17,46.5,45.5,15.0,0.34369209335569,252,0.0003099644419054646,0.022866593774858873,0.0040861900203407586,0.0038936933198435676
77,samples/sample_000077.npz,rectangular_body_000077,10,24,40,45,15,21,14,5,6,15,21,17.0,42.5,18.0,0.5529939983760436,420,0.0010346596680771113,0.042882290923872614,0.009954388462418036,0.007933579264455648
78,samples/sample_000078.npz,rectangular_body_000078,24,35,38,48,8,11,11,10,3,8,11,29.5,43.0,9.5,0.3314512381757112,330,0.00043547527114205315,0.05826163392262308,0.006960411361112785,0.007855785918303023
79,samples/sample_000079.npz,rectangular_body_000079,6,14,2,6,3,6,8,4,3,3,6,10.0,4.0,4.5,0.9637463281967422,96,5.99708159791304e-05,0.18621258236192895,0.004557729330897835,0.013103678489270392
80,samples/sample_000080.npz,rectangular_body_000080,34,47,35,43,3,8,13,8,5,3,8,40.5,39.0,5.5,0.4787336263885227,520,0.000578614614068356,0.28213546654549815,0.01843814785892775,0.029283491068526093
81,samples/sample_000081.npz,rectangular_body_000081,34,42,8,23,2,5,8,15,3,2,5,38.0,15.5,3.5,0.5745234338916141,360,0.00024672562997536966,0.31438784019641935,0.015726424388993857,0.03124583751194873
82,samples/sample_000082.npz,rectangular_body_000082,19,23,24,30,16,19,4,6,3,16,19,21.0,27.0,17.5,0.49145527256784505,72,0.00020878448008781455,0.007173368425678553,0.001668220989158531,0.0012238536859905853
83,samples/sample_000083.npz,rectangular_body_000083,4,16,29,39,5,11,12,10,6,5,11,10.0,34.0,8.0,0.22406604491713944,720,0.00035725840538334826,0.11234292945526025,0.009387402933571543,0.01411181694075562
84,samples/sample_000084.npz,rectangular_body_000084,44,53,43,51,13,15,9,8,2,13,15,48.5,47.0,14.0,0.6772901445738391,144,0.0002964714536991032,0.028585245862651553,0.004580817886442065,0.004810699708092312
85,samples/sample_000085.npz,rectangular_body_000085,6,10,37,45,8,14,4,8,6,8,14,8.0,41.0,11.0,0.9953341064435577,192,0.0004333500477715032,0.09469796531352373,0.009229710849199015,0.012665479816260226
86,samples/sample_000086.npz,rectangular_body_000086,44,48,5,12,7,14,4,7,7,7,14,46.0,8.5,10.5,0.9456680134255657,196,0.0003606899787975428,0.10458659692036014,0.008948878436723907,0.013230409110166276
87,samples/sample_000087.npz,rectangular_body_000087,10,26,24,33,2,4,16,9,2,2,4,18.0,28.5,3.0,0.8278355245381428,288,0.00029939775574461887,0.3592835718646837,0.018898297108101238,0.03731728000157731
88,samples/sample_000088.npz,rectangular_body_000088,6,22,18,34,2,7,16,16,5,2,7,14.0,26.0,4.5,0.872033054049786,1280,0.0015744780779210568,0.9512952017544065,0.0797175911334072,0.13217265185849383
89,samples/sample_000089.npz,rectangular_body_000089,25,40,5,12,5,7,15,7,2,5,7,32.5,8.5,6.0,0.32708311713986654,210,0.00011441423358745672,0.06449032745447457,0.00422146737358743,0.007400104913680576
90,samples/sample_000090.npz,rectangular_body_000090,31,35,42,47,13,15,4,5,2,13,15,33.0,44.5,14.0,0.3374063972261927,40,7.216498769868947e-05,0.004191804859154485,0.0007209537618673817,0.0006439472768395898
91,samples/sample_000091.npz,rectangular_body_000091,32,38,44,58,15,20,6,14,5,15,20,35.0,51.0,17.5,0.314051292974615,420,0.0006181207815841686,0.025332726641807548,0.005610923361874269,0.004633090144831055
92,samples/sample_000092.npz,rectangular_body_000092,10,26,23,28,16,24,16,5,8,16,24,18.0,25.5,20.0,0.3527865265552321,640,0.0012619448627100662,0.03421611126531828,0.009322338008103318,0.006386976488693231
93,samples/sample_000093.npz,rectangular_body_000093,50,55,43,51,3,5,5,8,2,3,5,52.5,47.0,4.0,0.7512071158293232,80,5.295584780180979e-05,0.13368058966911325,0.004158983357963762,0.009614689451981965
94,samples/sample_000094.npz,rectangular_body_000094,16,26,37,45,6,11,10,8,5,6,11,21.0,41.0,8.5,0.22300732516634592,400,0.0002571323288180656,0.06157781116544893,0.005796493838046293,0.007452309118034047
95,samples/sample_000095.npz,rectangular_body_000095,25,31,47,58,5,10,6,11,5,5,10,28.0,52.5,7.5,0.4337700634644878,330,0.00030091511850130676,0.12213929887303895,0.008786626759363267,0.013683409243577223
96,samples/sample_000096.npz,rectangular_body_000096,50,59,32,46,6,13,9,14,7,6,13,54.5,39.0,9.5,0.30725299857992516,882,0.0006019257193249894,0.1454751855711578,0.014533042022171518,0.020135330619246626
97,samples/sample_000097.npz,rectangular_body_000097,14,19,28,39,13,16,5,11,3,13,16,16.5,33.5,14.5,0.38162406129919557,165,0.00030229565683669935,0.01744299733274407,0.0031850429498082797,0.002856543005653642
98,samples/sample_000098.npz,rectangular_body_000098,13,27,32,42,13,20,14,10,7,13,20,20.0,37.0,16.5,0.5784619057172555,980,0.0031191629345072216,0.11991267704343975,0.02733340767795675,0.020874778370010942
99,samples/sample_000099.npz,rectangular_body_000099,8,12,13,17,8,11,4,4,3,8,11,10.0,15.0,9.5,0.8294001997182849,48,6.857178506166091e-05,0.025888884304098254,0.002015753713080003,0.003162373165156446
100,samples/sample_000100.npz,rectangular_body_000100,8,12,30,43,3,8,4,13,5,3,8,10.0,36.5,5.5,0.8666723554680504,260,0.0003325361866379187,0.29114919270013334,0.01475034811791446,0.027747724833985153
101,samples/sample_000101.npz,rectangular_body_000101,9,17,49,62,8,11,8,13,3,8,11,13.0,55.5,9.5,0.4764147715662276,312,0.00023361711025106396,0.0785440738312416,0.006909747703324327,0.010958397812992635
102,samples/sample_000102.npz,rectangular_body_000102,40,50,13,24,6,11,10,11,5,6,11,45.0,18.5,8.5,0.5703672773877432,550,0.0007264877581320268,0.20244511138446203,0.019470753792617722,0.0260659035132254
103,samples/sample_000103.npz,rectangular_body_000103,44,58,22,29,10,14,14,7,4,10,14,51.0,25.5,12.0,0.9970838266696098,392,0.0012334028352805012,0.14289895088770563,0.020267543507366044,0.022377554855713116
104,samples/sample_000104.npz,rectangular_body_000104,21,31,39,53,3,6,10,14,3,3,6,26.0,46.0,4.5,0.29018999468979223,420,0.0001994429976072146,0.14393790852805838,0.00910219218731204,0.015739430187326986
105,samples/sample_000105.npz,rectangular_body_000105,16,29,30,43,5,8,13,13,3,5,8,22.5,36.5,6.5,0.3438520567611396,507,0.0004987113379317958,0.1341951446925544,0.01243421143653986,0.016916368110679772
106,samples/sample_000106.npz,rectangular_body_000106,30,41,23,30,14,16,11,7,2,14,16,35.5,26.5,15.0,0.6076186970277863,154,0.0006468353510993591,0.0239857721503265,0.004997850098082291,0.0038239462461559133
107,samples/sample_000107.npz,rectangular_body_000107,51,58,47,61,13,16,7,14,3,13,16,54.5,54.0,14.5,0.2618071885553499,294,0.00016665799331709515,0.020298495119975044,0.0027949047077415515,0.003517352032736063
108,samples/sample_000108.npz,rectangular_body_000108,34,50,48,60,10,12,16,12,2,10,12,42.0,54.0,11.0,0.6914738976110106,384,0.0006371076574172714,0.09872992127057283,0.013174094163038066,0.01613545480468275
109,samples/sample_000109.npz,rectangular_body_000109,28,38,27,34,6,11,10,7,5,6,11,33.0,30.5,8.5,0.5369377491873798,350,0.0010823579262759207,0.1328596065644853,0.012855594089292797,0.015433791012408547
110,samples/sample_000110.npz,rectangular_body_000110,11,18,24,30,2,7,7,6,5,2,7,14.5,27.0,4.5,0.4635946621396003,210,0.0001412076529775158,0.2067010762766498,0.007119997964814981,0.014721925272673601
111,samples/sample_000111.npz,rectangular_body_000111,33,37,21,29,8,16,4,8,8,8,16,35.0,25.0,12.0,0.753745409757403,256,0.0010667780473677638,0.08458818180331848,0.011508782008678196,0.01126050744837079
112,samples/sample_000112.npz,rectangular_body_000112,4,17,23,28,15,20,13,5,5,15,20,10.5,25.5,17.5,0.5648137652792543,325,0.0007175237878689076,0.03580604617271018,0.007363529329746456,0.006550850385133616
113,samples/sample_000113.npz,rectangular_body_000113,51,61,18,28,9,13,10,10,4,9,13,56.0,23.0,11.0,0.5933520521682216,400,0.0005419024031303996,0.1028057559836516,0.011343021766256376,0.015013748666714708
114,samples/sample_000114.npz,rectangular_body_000114,47,62,28,44,15,17,15,16,2,15,17,54.5,36.0,16.0,0.6724820537541432,480,0.0012182773175845193,0.06523578474376848,0.01334249804930741,0.012246865136624117
115,samples/sample_000115.npz,rectangular_body_000115,45,57,46,60,7,9,12,14,2,7,9,51.0,53.0,8.0,0.735970250652668,336,0.0003595361624319677,0.1475997750654936,0.013017387144655779,0.02091636737477582
116,samples/sample_000116.npz,rectangular_body_000116,47,52,21,34,13,19,5,13,6,13,19,49.5,27.5,16.0,0.4886402766409633,390,0.0008402876081890234,0.04417987929088413,0.008805086674496022,0.007684463480654643
117,samples/sample_000117.npz,rectangular_body_000117,4,8,10,19,3,11,4,9,8,3,11,6.0,14.5,7.0,0.29781135205650977,288,9.790714194165312e-05,0.10259044217542221,0.004359734373398115,0.009168927535735746
118,samples/sample_000118.npz,rectangular_body_000118,28,44,56,62,9,17,16,6,8,9,17,36.0,59.0,13.0,0.36265099928464545,768,0.0007388161335328931,0.0909585730011006,0.01144826427659841,0.014002349471177861
119,samples/sample_000119.npz,rectangular_body_000119,6,12,27,37,7,15,6,10,8,7,15,9.0,32.0,11.0,0.5049575505079639,480,0.0007081032876095586,0.11897461172822574,0.012310363270020504,0.016046556105201983
120,samples/sample_000120.npz,rectangular_body_000120,48,53,15,29,3,5,5,14,2,3,5,50.5,22.0,4.0,0.9033224956910024,140,0.00013833017834324722,0.20542583270537418,0.009195005056483017,0.018551743258755783
121,samples/sample_000121.npz,rectangular_body_000121,42,48,52,61,3,6,6,9,3,3,6,45.0,56.5,4.5,0.783173102098575,162,0.00011526344285266758,0.22651596790340184,0.007877596770341576,0.018258394061518118
122,samples/sample_000122.npz,rectangular_body_000122,45,51,31,44,14,22,6,13,8,14,22,48.0,37.5,18.0,0.9981855270204449,624,0.003077753564012111,0.11764487948543413,0.027231393410403433,0.021243202504526364
123,samples/sample_000123.npz,rectangular_body_000123,18,31,11,26,5,9,13,15,4,5,9,24.5,18.5,7.0,0.45816516524155326,780,0.0008430581967192463,0.24011443044738157,0.024136267011353563,0.03257080412892742
124,samples/sample_000124.npz,rectangular_body_000124,51,61,37,48,2,10,10,11,8,2,10,56.0,42.5,6.0,0.7713258461083334,880,0.0008642408898117285,0.756200038990828,0.04038667769628007,0.07849208764256572
125,samples/sample_000125.npz,rectangular_body_000125,9,15,14,30,15,21,6,16,6,15,21,12.0,22.0,18.0,0.43709402633248157,576,0.0009635911982661342,0.04535961241392854,0.010007983658388394,0.00866426129218907
126,samples/sample_000126.npz,rectangular_body_000126,23,31,49,55,13,15,8,6,2,13,15,27.0,52.0,14.0,0.2728927351852563,96,9.355217107750839e-05,0.007857438323873745,0.0012490826980497043,0.0012779186928497303
127,samples/sample_000127.npz,rectangular_body_000127,23,30,53,57,5,13,7,4,8,5,13,26.5,55.0,9.0,0.7934138854022472,224,0.0003806954856242439,0.14025753050312229,0.00976979852213046,0.015105030157668939
128,samples/sample_000128.npz,rectangular_body_000128,29,35,44,60,4,11,6,16,7,4,11,32.0,52.0,7.5,0.41909458729910204,672,0.0006773114437268041,0.2134495089459037,0.01736191793663461,0.02605043709903291
