sample_index,relative_path,body_name,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_index,bottom_depth_index,center_x_index,center_y_index,center_z_index,top_depth_m,bottom_depth_m,center_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,density_contrast,nonzero_density_cells,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
14,samples/sample_000014.npz,rectangular_body_000014,22,27,4,13,15,20,5,9,5,15,19,24.0,8.0,17.0,150.0,200.0,175.0,50.0,90.0,50.0,240.0,80.0,0.20754495623670338,225,0.0001691072898601594,0.008913845621811725,0.0017556342436244356,0.0016189966235253138
15,samples/sample_000015.npz,rectangular_body_000015,19,32,23,31,14,17,13,8,3,14,16,25.0,26.5,15.0,140.0,170.0,155.0,130.0,80.0,30.0,250.0,265.0,0.6645448098260138,312,0.0013716546797482394,0.04623830242241202,0.01056904606383063,0.007703381318090405
16,samples/sample_000016.npz,rectangular_body_000016,17,33,19,34,4,10,16,15,6,4,9,24.5,26.0,6.5,40.0,100.0,70.0,160.0,150.0,60.0,245.0,260.0,0.9019100585343176,1440,0.004519544554805358,0.7544925176865213,0.08983070366220824,0.10795230573804476
17,samples/sample_000017.npz,rectangular_body_000017,50,57,15,25,6,13,7,10,7,6,12,53.0,19.5,9.0,60.0,130.0,95.0,70.0,100.0,70.0,530.0,195.0,0.455060168177182,490,0.00046850375705208893,0.12534872268811323,0.011723078518110915,0.01648357903224516
18,samples/sample_000018.npz,rectangular_body_000018,36,47,15,26,13,17,11,11,4,13,16,41.0,20.0,14.5,130.0,170.0,150.0,110.0,110.0,40.0,410.0,200.0,0.7556496255102603,484,0.0016911753148870173,0.08642814530636445,0.017977768598959748,0.014899222894407784
19,samples/sample_000019.npz,rectangular_body_000019,25,36,38,44,12,20,11,6,8,12,19,30.0,40.5,15.5,120.0,200.0,160.0,110.0,60.0,80.0,300.0,405.0,0.26977642699442983,528,0.0009739182261916095,0.0323139308208336,0.007127638697771581,0.005278181937959147
20,samples/sample_000020.npz,rectangular_body_000020,25,38,19,27,6,11,13,8,5,6,10,31.0,22.5,8.0,60.0,110.0,85.0,130.0,80.0,50.0,310.0,225.0,0.527739747723183,520,0.0012139080891815889,0.1612427975018807,0.018044350207133027,0.020844618137810793
21,samples/sample_000021.npz,rectangular_body_000021,30,36,6,16,3,8,6,10,5,3,7,32.5,10.5,5.0,30.0,80.0,55.0,60.0,100.0,50.0,325.0,105.0,0.39044082342939723,300,0.00021354832935023711,0.1436947392736844,0.0076300105833654345,0.013711152069975398
22,samples/sample_000022.npz,rectangular_body_000022,20,29,46,62,7,15,9,16,8,7,14,24.0,53.5,10.5,70.0,150.0,110.0,90.0,160.0,80.0,240.0,535.0,0.4605694393624532,1152,0.0014105947183862965,0.20566227929661823,0.02622380370573702,0.031788400333269046
23,samples/sample_000023.npz,rectangular_body_000023,29,43,29,34,5,13,14,5,8,5,12,35.5,31.0,8.5,50.0,130.0,90.0,140.0,50.0,80.0,355.0,310.0,0.225758546632446,560,0.0007306614478711823,0.07439424641285869,0.008320424825126465,0.009269484226393804
24,samples/sample_000024.npz,rectangular_body_000024,28,39,8,13,15,17,11,5,2,15,16,33.0,10.0,15.5,150.0,170.0,160.0,110.0,50.0,20.0,330.0,100.0,0.9409740811696254,110,0.0004342958478911904,0.022562814784389162,0.004378269672862098,0.004003775227989368
25,samples/sample_000025.npz,rectangular_body_000025,18,29,14,23,5,9,11,9,4,5,8,23.0,18.0,6.5,50.0,90.0,70.0,110.0,90.0,40.0,230.0,180.0,0.33140491519502346,396,0.000315072688099066,0.10266567662399011,0.008715832636758148,0.0121402178236333
26,samples/sample_000026.npz,rectangular_body_000026,42,55,34,42,7,9,13,8,2,7,8,48.0,37.5,7.5,70.0,90.0,80.0,130.0,80.0,20.0,480.0,375.0,0.4725149145015195,208,0.00025600929791467136,0.06075178638919231,0.006109993966803799,0.007992498790625066
27,samples/sample_000027.npz,rectangular_body_000027,17,33,6,22,15,17,16,16,2,15,16,24.5,13.5,15.5,150.0,170.0,160.0,160.0,160.0,20.0,245.0,135.0,0.7789084607655188,512,0.0016823059337108407,0.07581515015980461,0.01747480261319952,0.014504137304995812
28,samples/sample_000028.npz,rectangular_body_000028,24,37,45,53,10,18,13,8,8,10,17,30.0,48.5,13.5,100.0,180.0,140.0,130.0,80.0,80.0,300.0,485.0,0.37916968038695953,832,0.0014242488308761013,0.08765491917109672,0.015646654687456633,0.014479100458546706
29,samples/sample_000029.npz,rectangular_body_000029,25,32,19,28,5,8,7,9,3,5,7,28.0,23.0,6.0,50.0,80.0,65.0,70.0,90.0,30.0,280.0,230.0,0.8378726965056633,189,0.0005161000169147365,0.15054856852360687,0.011207671049614648,0.015742254993874875
30,samples/sample_000030.npz,rectangular_body_000030,49,55,24,39,15,22,6,15,7,15,21,51.5,31.0,18.0,150.0,220.0,185.0,60.0,150.0,70.0,515.0,310.0,0.32340379562796207,630,0.001026164842980491,0.033861993184541014,0.008110047737012424,0.00638995432916255
31,samples/sample_000031.npz,rectangular_body_000031,7,16,33,40,7,9,9,7,2,7,8,11.0,36.0,7.5,70.0,90.0,80.0,90.0,70.0,20.0,110.0,360.0,0.2199793810711709,126,6.422476959644155e-05,0.019269691925470116,0.001631034839699582,0.0023426297676159076
32,samples/sample_000032.npz,rectangular_body_000032,38,49,16,32,9,14,11,16,5,9,13,43.0,23.5,11.0,90.0,140.0,115.0,110.0,160.0,50.0,430.0,235.0,0.8991662605211204,880,0.0031460168025114676,0.26827441636178534,0.0447049525671885,0.04308798008885796
33,samples/sample_000033.npz,rectangular_body_000033,29,38,22,32,4,9,9,10,5,4,8,33.0,26.5,6.0,40.0,90.0,65.0,90.0,100.0,50.0,330.0,265.0,0.6624796009659032,450,0.001221346512957841,0.2691361670432101,0.021368004226131034,0.029203394106332395
34,samples/sample_000034.npz,rectangular_body_000034,28,36,16,30,9,17,8,14,8,9,16,31.5,22.5,12.5,90.0,170.0,130.0,80.0,140.0,80.0,315.0,225.0,0.4793614613190729,896,0.0026956817557918684,0.13337111683025552,0.02393330529222371,0.020634195643882393
35,samples/sample_000035.npz,rectangular_body_000035,38,53,48,61,7,11,15,13,4,7,10,45.0,54.0,8.5,70.0,110.0,90.0,150.0,130.0,40.0,450.0,540.0,0.7844032018316711,780,0.0011546331163985043,0.2836978417470033,0.031095200982264412,0.04347166411163624
36,samples/sample_000036.npz,rectangular_body_000036,43,59,39,50,10,15,16,11,5,10,14,50.5,44.0,12.0,100.0,150.0,125.0,160.0,110.0,50.0,505.0,440.0,0.3513652492027719,880,0.0008847717315520465,0.09254886195511768,0.014764458062394674,0.015965016956195816
37,samples/sample_000037.npz,rectangular_body_000037,31,39,25,33,16,19,8,8,3,16,18,34.5,28.5,17.0,160.0,190.0,175.0,80.0,80.0,30.0,345.0,285.0,0.7490368234415601,192,0.0012566311486047765,0.026890484382350643,0.006953178719670585,0.004462782881129965
38,samples/sample_000038.npz,rectangular_body_000038,23,35,24,34,8,10,12,10,2,8,9,28.5,28.5,8.5,80.0,100.0,90.0,120.0,100.0,20.0,285.0,285.0,0.6932820169050666,240,0.0009136555596128332,0.08600684398982227,0.010913370545123837,0.01162985620411789
39,samples/sample_000039.npz,rectangular_body_000039,38,42,26,34,6,10,4,8,4,6,9,39.5,29.5,7.5,60.0,100.0,80.0,40.0,80.0,40.0,395.0,295.0,0.6625174941681033,128,0.00035119981099668816,0.06434839036400646,0.005716040172185457,0.007160997863339756
40,samples/sample_000040.npz,rectangular_body_000040,29,40,32,48,9,12,11,16,3,9,11,34.0,39.5,10.0,90.0,120.0,105.0,110.0,160.0,30.0,340.0,395.0,0.6522510296859483,528,0.0017802653746405786,0.13097730473944205,0.020996577043636555,0.020017004355887904
41,samples/sample_000041.npz,rectangular_body_000041,24,39,21,25,3,8,15,4,5,3,7,31.0,22.5,5.0,30.0,80.0,55.0,150.0,40.0,50.0,310.0,225.0,0.20777721073326233,300,0.00019331262562025754,0.06591713859846626,0.0045721283417937,0.006862946118191221
42,samples/sample_000042.npz,rectangular_body_000042,22,28,40,49,2,7,6,9,5,2,6,24.5,44.0,4.0,20.0,70.0,45.0,60.0,90.0,50.0,245.0,440.0,0.3092615172089288,270,0.00015188863222137777,0.13842665869014567,0.006199625506528369,0.011336435880071528
43,samples/sample_000043.npz,rectangular_body_000043,29,36,28,43,5,8,7,15,3,5,7,32.0,35.0,6.0,50.0,80.0,65.0,70.0,150.0,30.0,320.0,350.0,0.9297482914906869,315,0.0013532576247085515,0.22982639341315408,0.021009263008871668,0.02730607759003712
44,samples/sample_000044.npz,rectangular_body_000044,22,29,18,32,13,20,7,14,7,13,19,25.0,24.5,16.0,130.0,200.0,165.0,70.0,140.0,70.0,250.0,245.0,0.8129409408729518,686,0.003567842530389497,0.11426730558103615,0.02723071030847997,0.019365777290753866
45,samples/sample_000045.npz,rectangular_body_000045,33,39,10,19,4,11,6,9,7,4,10,35.5,14.0,7.0,40.0,110.0,75.0,60.0,90.0,70.0,355.0,140.0,0.585696214499613,378,0.0005513481111734062,0.19140264733775586,0.014051773919063818,0.02054750003127184
46,samples/sample_000046.npz,rectangular_body_000046,26,42,47,61,6,8,16,14,2,6,7,33.5,53.5,6.5,60.0,80.0,70.0,160.0,140.0,20.0,335.0,535.0,0.5160173040865819,448,0.0004877304460241287,0.1335079691913505,0.013583351570395853,0.01952396965609873
47,samples/sample_000047.npz,rectangular_body_000047,9,14,53,62,6,8,5,9,2,6,7,11.0,57.0,6.5,60.0,80.0,70.0,50.0,90.0,20.0,110.0,570.0,0.8157948341691554,90,8.421473054873682e-05,0.06456094987539558,0.0034754399686622783,0.006915304902629058
48,samples/sample_000048.npz,rectangular_body_000048,38,50,14,18,8,11,12,4,3,8,10,43.5,15.5,9.0,80.0,110.0,95.0,120.0,40.0,30.0,435.0,155.0,0.33976363172654256,144,0.0001239281739052527,0.025527081867554008,0.002808745981318944,0.0035106311612829273
49,samples/sample_000049.npz,rectangular_body_000049,13,27,18,23,3,8,14,5,5,3,7,19.5,20.0,5.0,30.0,80.0,55.0,140.0,50.0,50.0,195.0,200.0,0.7705323508373183,350,0.0005066527029206518,0.29145095404277177,0.01892349164558746,0.030282717647886245
50,samples/sample_000050.npz,rectangular_body_000050,28,44,29,39,6,14,16,10,8,6,13,35.5,33.5,9.5,60.0,140.0,100.0,160.0,100.0,80.0,355.0,335.0,0.34452026054367046,1280,0.002626757669506277,0.1932390321284937,0.027890032977470634,0.027687972427208062
51,samples/sample_000051.npz,rectangular_body_000051,17,22,42,55,3,9,5,13,6,3,8,19.0,48.0,5.5,30.0,90.0,60.0,50.0,130.0,60.0,190.0,480.0,0.9579506174671706,390,0.0006247974407577614,0.3880170024270727,0.024596126099680524,0.040480004150614944
52,samples/sample_000052.npz,rectangular_body_000052,10,16,16,28,14,16,6,12,2,14,15,12.5,21.5,14.5,140.0,160.0,150.0,60.0,120.0,20.0,125.0,215.0,0.8023777904824065,144,0.00040669329413139433,0.027746243601866664,0.005150344058491548,0.004916415651590809
53,samples/sample_000053.npz,rectangular_body_000053,43,48,20,32,11,15,5,12,4,11,14,45.0,25.5,12.5,110.0,150.0,130.0,50.0,120.0,40.0,450.0,255.0,0.734401532534041,240,0.0007569391239957452,0.0551406284420656,0.009375368622658697,0.008730880624070283
54,samples/sample_000054.npz,rectangular_body_000054,10,19,5,18,16,19,9,13,3,16,18,14.0,11.0,17.0,160.0,190.0,175.0,90.0,130.0,30.0,140.0,110.0,0.589703997106479,351,0.0006400529689899183,0.03721864113006064,0.007478669156204446,0.00722695709551087
55,samples/sample_000055.npz,rectangular_body_000055,21,29,35,40,8,13,8,5,5,8,12,24.5,37.0,10.0,80.0,130.0,105.0,80.0,50.0,50.0,245.0,370.0,0.47082622661936213,200,0.00044429952400336847,0.04555154189938746,0.005778436099994474,0.0059928952042535
56,samples/sample_000056.npz,rectangular_body_000056,13,25,49,53,5,9,12,4,4,5,8,18.5,50.5,6.5,50.0,90.0,70.0,120.0,40.0,40.0,185.0,505.0,0.486115979181251,192,0.0001605591981948764,0.07809969680078857,0.005686326355821557,0.008954916404224356
57,samples/sample_000057.npz,rectangular_body_000057,24,36,5,12,13,16,12,7,3,13,15,29.5,8.0,14.0,130.0,160.0,145.0,120.0,70.0,30.0,295.0,80.0,0.5594899990243611,252,0.0005035075875970069,0.03587406132938557,0.005999688443266621,0.0061215877551370245
58,samples/sample_000058.npz,rectangular_body_000058,10,18,45,53,7,11,8,8,4,7,10,13.5,48.5,8.5,70.0,110.0,90.0,80.0,80.0,40.0,135.0,485.0,0.34211798854958697,256,0.00017078976874081414,0.05171304252684846,0.004756127964814225,0.0068013518452092565
59,samples/sample_000059.npz,rectangular_body_000059,49,58,32,41,3,11,9,9,8,3,10,53.0,36.0,6.5,30.0,110.0,70.0,90.0,90.0,80.0,530.0,360.0,0.9400558586085401,648,0.0012093096988436713,0.5601690999228461,0.036851906531737456,0.05988222684089232
60,samples/sample_000060.npz,rectangular_body_000060,33,41,25,32,6,14,8,7,8,6,13,36.5,28.0,9.5,60.0,140.0,100.0,80.0,70.0,80.0,365.0,280.0,0.36709982204022884,448,0.0008697643567638703,0.0902647669684174,0.010412076863483466,0.011162001042161645
61,samples/sample_000061.npz,rectangular_body_000061,13,27,51,58,8,13,14,7,5,8,12,19.5,54.0,10.0,80.0,130.0,105.0,140.0,70.0,50.0,195.0,540.0,0.6081998361800318,490,0.000661668753239496,0.126983493338217,0.014565804689487608,0.01908577245647035
62,samples/sample_000062.npz,rectangular_body_000062,3,16,28,43,2,7,13,15,5,2,6,9.0,35.0,4.0,20.0,70.0,45.0,130.0,150.0,50.0,90.0,350.0,0.9681046825162396,975,0.001303135160020283,0.8829894946782578,0.0614489914694988,0.11065515505125881
63,samples/sample_000063.npz,rectangular_body_000063,36,47,5,16,8,13,11,11,5,8,12,41.0,10.0,10.0,80.0,130.0,105.0,110.0,110.0,50.0,410.0,100.0,0.532191217820781,605,0.0007917930912163607,0.13701385498365576,0.016348274320619107,0.02052896553861287
64,samples/sample_000064.npz,rectangular_body_000064,30,37,17,24,14,19,7,7,5,14,18,33.0,20.0,16.0,140.0,190.0,165.0,70.0,70.0,50.0,330.0,200.0,0.33894776967550994,245,0.0005257862046820431,0.017725087102384324,0.003999581690973036,0.0029801126098086147
65,samples/sample_000065.npz,rectangular_body_000065,41,47,22,26,4,6,6,4,2,4,5,43.5,23.5,4.5,40.0,60.0,50.0,60.0,40.0,20.0,435.0,235.0,0.3186383439866961,48,2.9781277917846395e-05,0.02423574089083202,0.0011149857602483094,0.001956514603837225
66,samples/sample_000066.npz,rectangular_body_000066,38,53,3,10,4,7,15,7,3,4,6,45.0,6.0,5.0,40.0,70.0,55.0,150.0,70.0,30.0,450.0,60.0,0.4180529396309754,315,0.00014825461737756938,0.12494624560890052,0.007287551451048797,0.01413471152627114
67,samples/sample_000067.npz,rectangular_body_000067,31,47,36,49,8,16,16,13,8,8,15,38.5,42.0,11.5,80.0,160.0,120.0,160.0,130.0,80.0,385.0,420.0,0.602553111985221,1664,0.004419663840610836,0.3204482474200625,0.056321229153570976,0.051934444812714475
68,samples/sample_000068.npz,rectangular_body_000068,21,34,6,15,12,16,13,9,4,12,15,27.0,10.0,13.5,120.0,160.0,140.0,130.0,90.0,40.0,270.0,100.0,0.8692397290182241,468,0.0014377010312588319,0.10764934095645523,0.018382932231697895,0.01847268065188995
69,samples/sample_000069.npz,rectangular_body_000069,38,52,40,52,8,13,14,12,5,8,12,44.5,45.5,10.0,80.0,130.0,105.0,140.0,120.0,50.0,445.0,455.0,0.5565470437089544,840,0.0013421211993897733,0.18448899171703773,0.025941915456971703,0.029027215600515265
70,samples/sample_000070.npz,rectangular_body_000070,46,55,43,50,2,4,9,7,2,2,3,50.0,46.0,2.5,20.0,40.0,30.0,90.0,70.0,20.0,500.0,460.0,0.22753479532929888,126,2.438772811054697e-05,0.06345401111584087,0.0020865365593165488,0.004806104509772502
71,samples/sample_000071.npz,rectangular_body_000071,50,60,41,57,6,11,10,16,5,6,10,54.5,48.5,8.0,60.0,110.0,85.0,100.0,160.0,50.0,545.0,485.0,0.950196374718226,800,0.0012208958232624999,0.3968827491092355,0.037691973178721395,0.05801500501653034
72,samples/sample_000072.npz,rectangular_body_000072,24,39,47,59,10,17,15,12,7,10,16,31.0,52.5,13.0,100.0,170.0,135.0,150.0,120.0,70.0,310.0,525.0,0.9044379796086117,1260,0.004411454106984315,0.30943323973642384,0.05327802018806578,0.05331222242341075
73,samples/sample_000073.npz,rectangular_body_000073,44,50,2,9,7,13,6,7,6,7,12,46.5,5.0,9.5,70.0,130.0,100.0,60.0,70.0,60.0,465.0,50.0,0.960857141891585,252,0.00041885971407776035,0.1304359282776658,0.010474718279957091,0.016431445387315866
74,samples/sample_000074.npz,rectangular_body_000074,13,23,39,52,15,21,10,13,6,15,20,17.5,45.0,17.5,150.0,210.0,180.0,100.0,130.0,60.0,175.0,450.0,0.2936956257509941,780,0.0009829460025839157,0.03954163183430477,0.0094703110364661,0.007535343253928046
75,samples/sample_000075.npz,rectangular_body_000075,14,25,34,42,13,17,11,8,4,13,16,19.0,37.5,14.5,130.0,170.0,150.0,110.0,80.0,40.0,190.0,375.0,0.7011835364614531,352,0.001229895055350057,0.05975088828484101,0.01227128064642105,0.010082124835728656
76,samples/sample_000076.npz,rectangular_body_000076,42,51,42,49,13,17,9,7,4,13,16,46.0,45.0,14.5,130.0,170.0,150.0,90.0,70.0,40.0,460.0,450.0,0.34369209335569,252,0.00031823364340260606,0.021525271749403635,0.004007201868395912,0.0037273831867987266
77,samples/sample_000077.npz,rectangular_body_000077,10,24,40,45,15,21,14,5,6,15,20,16.5,42.0,17.5,150.0,210.0,180.0,140.0,50.0,60.0,165.0,420.0,0.5529939983760436,420,0.0010555779213345842,0.040766132664556885,0.009770463209952531,0.007617599804627146
78,samples/sample_000078.npz,rectangular_body_000078,24,35,38,48,8,11,11,10,3,8,10,29.0,42.5,9.0,80.0,110.0,95.0,110.0,100.0,30.0,290.0,425.0,0.3314512381757112,330,0.000454914878607696,0.05383561863155096,0.006831005834466509,0.007441969947512545
79,samples/sample_000079.npz,rectangular_body_000079,6,14,2,6,3,6,8,4,3,3,5,9.5,3.5,4.0,30.0,60.0,45.0,80.0,40.0,30.0,95.0,35.0,0.9637463281967422,96,6.588692425357297e-05,0.16048057640723126,0.0044184938138978344,0.012052120864210283
80,samples/sample_000080.npz,rectangular_body_000080,34,47,35,43,3,8,13,8,5,3,7,40.0,38.5,5.0,30.0,80.0,55.0,130.0,80.0,50.0,400.0,385.0,0.4787336263885227,520,0.0006249150792406294,0.25462762694365915,0.018103306771031717,0.027378480567918837
81,samples/sample_000081.npz,rectangular_body_000081,34,42,8,23,2,5,8,15,3,2,4,37.5,15.0,3.0,20.0,50.0,35.0,80.0,150.0,30.0,375.0,150.0,0.5745234338916141,360,0.0002770784305989198,0.28282304232229283,0.015406515252374936,0.02903098161499377
82,samples/sample_000082.npz,rectangular_body_000082,19,23,24,30,16,19,4,6,3,16,18,20.5,26.5,17.0,160.0,190.0,175.0,40.0,60.0,30.0,205.0,265.0,0.49145527256784505,72,0.00021289434926844672,0.006796402694240405,0.001637705004123228,0.0011719702663314261
83,samples/sample_000083.npz,rectangular_body_000083,4,16,29,39,5,11,12,10,6,5,10,9.5,33.5,7.5,50.0,110.0,80.0,120.0,100.0,60.0,95.0,335.0,0.22406604491713944,720,0.00037703374299636266,0.10300663638117494,0.009191402392797116,0.01333002938327089
84,samples/sample_000084.npz,rectangular_body_000084,44,53,43,51,13,15,9,8,2,13,14,48.0,46.5,13.5,130.0,150.0,140.0,90.0,80.0,20.0,480.0,465.0,0.6772901445738391,144,0.00030523584536419575,0.02684407062210245,0.004489967743560112,0.004602119817378235
85,samples/sample_000085.npz,rectangular_body_000085,6,10,37,45,8,14,4,8,6,8,13,7.5,40.5,10.5,80.0,140.0,110.0,40.0,80.0,60.0,75.0,405.0,0.9953341064435577,192,0.00045055514233843715,0.08712102770134313,0.009041050618762994,0.012028158969928277
86,samples/sample_000086.npz,rectangular_body_000086,44,48,5,12,7,14,4,7,7,7,13,45.5,8.0,10.0,70.0,140.0,105.0,40.0,70.0,70.0,455.0,80.0,0.9456680134255657,196,0.00037587029738452384,0.09555529723171244,0.008756736224761554,0.01254654383720345
87,samples/sample_000087.npz,rectangular_body_000087,10,26,24,33,2,4,16,9,2,2,3,17.5,28.0,2.5,20.0,40.0,30.0,160.0,90.0,20.0,175.0,280.0,0.8278355245381428,288,0.00034156471299624623,0.32545115994257207,0.018538109588156045,0.03465462810176139
88,samples/sample_000088.npz,rectangular_body_000088,6,22,18,34,2,7,16,16,5,2,6,13.5,25.5,4.0,20.0,70.0,45.0,160.0,160.0,50.0,135.0,255.0,0.872033054049786,1280,0.001728273781556705,0.8856142808591035,0.0780326784788304,0.12441835967425387
89,samples/sample_000089.npz,rectangular_body_000089,25,40,5,12,5,7,15,7,2,5,6,32.0,8.0,5.5,50.0,70.0,60.0,150.0,70.0,20.0,320.0,80.0,0.32708311713986654,210,0.00012290716355141162,0.05859254915670975,0.004126448396084719,0.0069524863019251575
90,samples/sample_000090.npz,rectangular_body_000090,31,35,42,47,13,15,4,5,2,13,14,32.5,44.0,13.5,130.0,150.0,140.0,40.0,50.0,20.0,325.0,440.0,0.3374063972261927,40,7.413886187991793e-05,0.003922401946573616,0.000707555783471425,0.0006140575195891883
91,samples/sample_000091.npz,rectangular_body_000091,32,38,44,58,15,20,6,14,5,15,19,34.5,50.5,17.0,150.0,200.0,175.0,60.0,140.0,50.0,345.0,505.0,0.314051292974615,420,0.0006309559561844026,0.024067129609936334,0.005509051865127706,0.004446400054331002
92,samples/sample_000092.npz,rectangular_body_000092,10,26,23,28,16,24,16,5,8,16,23,17.5,25.0,19.5,160.0,240.0,200.0,160.0,50.0,80.0,175.0,250.0,0.3527865265552321,640,0.001282416528627493,0.032676423225524366,0.009154651123260103,0.006138139119223212
93,samples/sample_000093.npz,rectangular_body_000093,50,55,43,51,3,5,5,8,2,3,4,52.0,46.5,3.5,30.0,50.0,40.0,50.0,80.0,20.0,520.0,465.0,0.7512071158293232,80,5.875369994763978e-05,0.11504127392910829,0.0040574507681787175,0.008870274265078769
94,samples/sample_000094.npz,rectangular_body_000094,16,26,37,45,6,11,10,8,5,6,10,20.5,40.5,8.0,60.0,110.0,85.0,100.0,80.0,50.0,205.0,405.0,0.22300732516634592,400,0.00027034196565933386,0.056219152828544026,0.005685776659515181,0.007037240554450906
95,samples/sample_000095.npz,rectangular_body_000095,25,31,47,58,5,10,6,11,5,5,9,27.5,52.0,7.0,50.0,100.0,75.0,60.0,110.0,50.0,275.0,520.0,0.4337700634644878,330,0.0003187310676966547,0.1104963512104934,0.008602827333162429,0.012884181217797634
96,samples/sample_000096.npz,rectangular_body_000096,50,59,32,46,6,13,9,14,7,6,12,54.0,38.5,9.0,60.0,130.0,95.0,90.0,140.0,70.0,540.0,385.0,0.30725299857992516,882,0.0006298474916278682,0.13446137351849388,0.014229074034291165,0.019101808275673666
97,samples/sample_000097.npz,rectangular_body_000097,14,19,28,39,13,16,5,11,3,13,15,16.0,33.0,14.0,130.0,160.0,145.0,50.0,110.0,30.0,160.0,330.0,0.38162406129919557,165,0.0003103397619574867,0.016403161317914913,0.003125053413620873,0.0027297475008329778
