sample_index,sample_id,relative_path,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_m,bottom_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,center_depth_m,density_contrast,body_volume_cells,body_size_group,density_group,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
24,prime_000024,samples/prime_000024.npz,12,23,28,40,4,11,11,12,7,40.0,110.0,110.0,120.0,70.0,170.0,335.0,75.0,0.36219431400512675,924,large,low,0.0005080010159872472,0.27702248096466064,0.01752818375825882,0.0384930819272995
25,prime_000025,samples/prime_000025.npz,8,13,38,54,3,7,5,16,4,30.0,70.0,50.0,160.0,40.0,100.0,455.0,50.0,0.4301852002022305,320,medium,low,8.37363040773198e-05,0.18594153225421906,0.0074987164698541164,0.022322246804833412
26,prime_000026,samples/prime_000026.npz,19,25,18,23,8,10,6,5,2,80.0,100.0,60.0,50.0,20.0,215.0,200.0,90.0,0.47598079440237234,60,small,medium,4.536786946118809e-05,0.021655069664120674,0.0014348379336297512,0.00286693824455142
27,prime_000027,samples/prime_000027.npz,10,20,16,31,2,5,10,15,3,20.0,50.0,100.0,150.0,30.0,145.0,230.0,35.0,0.308705775366182,450,medium,low,7.781898602843285e-05,0.20934928953647614,0.008062762208282948,0.026771795004606247
28,prime_000028,samples/prime_000028.npz,27,40,29,45,3,6,13,16,3,30.0,60.0,130.0,160.0,30.0,330.0,365.0,45.0,0.9984139739445392,624,large,high,0.0008258409216068685,0.6434162259101868,0.03573958948254585,0.09514805674552917
29,prime_000029,samples/prime_000029.npz,44,56,48,55,2,7,12,7,5,20.0,70.0,120.0,70.0,50.0,495.0,510.0,45.0,0.8960378998127703,420,medium,high,0.00019676994998008013,0.6561084389686584,0.020827757194638252,0.07044646888971329
30,prime_000030,samples/prime_000030.npz,48,52,41,45,4,10,4,4,6,40.0,100.0,40.0,40.0,60.0,495.0,425.0,70.0,0.23023481936279466,96,small,low,2.2099689886090346e-05,0.03278990834951401,0.0011541106505319476,0.003133011981844902
31,prime_000031,samples/prime_000031.npz,43,47,15,27,4,10,4,12,6,40.0,100.0,40.0,120.0,60.0,445.0,205.0,70.0,0.5965633671238739,288,small,medium,0.0001994171179831028,0.19014579057693481,0.009088976308703423,0.022350359708070755
32,prime_000032,samples/prime_000032.npz,10,20,12,19,3,7,10,7,4,30.0,70.0,100.0,70.0,40.0,145.0,150.0,50.0,0.3578432804790479,280,small,low,6.448294880101457e-05,0.16698534786701202,0.005512041039764881,0.017512839287519455
33,prime_000033,samples/prime_000033.npz,11,15,40,53,2,8,4,13,6,20.0,80.0,40.0,130.0,60.0,125.0,460.0,50.0,0.8071301544799174,312,medium,high,0.00016156802303157747,0.4445565342903137,0.013840979896485806,0.044993989169597626
34,prime_000034,samples/prime_000034.npz,43,49,17,29,7,11,6,12,4,70.0,110.0,60.0,120.0,40.0,455.0,225.0,90.0,0.4319188873016006,288,small,low,0.00018911721417680383,0.08376743644475937,0.0062132785096764565,0.012018462643027306
35,prime_000035,samples/prime_000035.npz,41,46,10,14,6,12,5,4,6,60.0,120.0,50.0,40.0,60.0,430.0,115.0,90.0,0.6758628176024849,120,small,medium,9.65047292993404e-05,0.06917968392372131,0.003936332650482655,0.008512990549206734
36,prime_000036,samples/prime_000036.npz,14,25,36,41,8,13,11,5,5,80.0,130.0,110.0,50.0,50.0,190.0,380.0,105.0,0.2648351848133974,275,small,low,0.00014362565707415342,0.03944903239607811,0.0035140826366841793,0.006006323732435703
37,prime_000037,samples/prime_000037.npz,16,24,36,45,5,13,8,9,8,50.0,130.0,80.0,90.0,80.0,195.0,400.0,90.0,0.7770640711867066,576,large,high,0.0007300965953618288,0.3439616560935974,0.022528711706399918,0.045510586351156235
38,prime_000038,samples/prime_000038.npz,24,34,37,47,3,5,10,10,2,30.0,50.0,100.0,100.0,20.0,285.0,415.0,40.0,0.2965237313480653,200,small,low,5.532090290216729e-05,0.10476544499397278,0.0034355726093053818,0.011488539166748524
39,prime_000039,samples/prime_000039.npz,24,39,26,35,5,9,15,9,4,50.0,90.0,150.0,90.0,40.0,310.0,300.0,70.0,0.42448784425295494,540,medium,low,0.0005449513555504382,0.18821893632411957,0.012370415031909943,0.026840373873710632
40,prime_000040,samples/prime_000040.npz,38,47,20,25,3,11,9,5,8,30.0,110.0,90.0,50.0,80.0,420.0,220.0,70.0,0.3987172909592158,360,medium,low,0.0001866344828158617,0.18935488164424896,0.0076526133343577385,0.019944949075579643
41,prime_000041,samples/prime_000041.npz,34,45,11,26,5,7,11,15,2,50.0,70.0,110.0,150.0,20.0,390.0,180.0,60.0,0.8926817725859657,330,medium,high,0.00032274817931465805,0.26516416668891907,0.01604648120701313,0.03816899657249451
42,prime_000042,samples/prime_000042.npz,47,54,27,41,2,7,7,14,5,20.0,70.0,70.0,140.0,50.0,500.0,335.0,45.0,0.7599016649291763,490,medium,high,0.00029873079620301723,0.5839253067970276,0.02100793458521366,0.06699685007333755
43,prime_000043,samples/prime_000043.npz,36,47,17,24,2,8,11,7,6,20.0,80.0,110.0,70.0,60.0,410.0,200.0,50.0,0.8804663298137799,462,medium,high,0.00037073245039209723,0.68226158618927,0.022847892716526985,0.07209581881761551
44,prime_000044,samples/prime_000044.npz,32,43,11,22,7,15,11,11,8,70.0,150.0,110.0,110.0,80.0,370.0,160.0,110.0,0.4676360684826444,968,large,medium,0.0008711633854545653,0.21731863915920258,0.02131265588104725,0.035104360431432724
45,prime_000045,samples/prime_000045.npz,38,54,33,47,8,13,16,14,5,80.0,130.0,160.0,140.0,50.0,455.0,395.0,105.0,0.3045854369193533,1120,large,low,0.0006227439735084772,0.14265047013759613,0.016273943707346916,0.02559950016438961
46,prime_000046,samples/prime_000046.npz,19,35,9,17,2,7,16,8,5,20.0,70.0,160.0,80.0,50.0,265.0,125.0,45.0,0.47484581379079116,640,large,medium,0.00022342744341585785,0.4121086895465851,0.017101267352700233,0.051806095987558365
47,prime_000047,samples/prime_000047.npz,46,55,39,55,5,13,9,16,8,50.0,130.0,90.0,160.0,80.0,500.0,465.0,90.0,0.4112335959021098,1152,large,low,0.0005420519737526774,0.28825950622558594,0.022870268672704697,0.04493571072816849
48,prime_000048,samples/prime_000048.npz,40,52,15,30,8,15,12,15,7,80.0,150.0,120.0,150.0,70.0,455.0,220.0,115.0,0.9547130424190022,1260,large,high,0.0022825251799076796,0.4777686893939972,0.055654726922512054,0.08466728031635284
49,prime_000049,samples/prime_000049.npz,15,25,21,37,7,11,10,16,4,70.0,110.0,100.0,160.0,40.0,195.0,285.0,90.0,0.7859596941015263,640,large,high,0.0009676891495473683,0.28132110834121704,0.025393573567271233,0.0453755147755146
50,prime_000050,samples/prime_000050.npz,12,23,34,41,8,13,11,7,5,80.0,130.0,110.0,70.0,50.0,170.0,370.0,105.0,0.9480221607336727,385,medium,high,0.0006949478411115706,0.19272054731845856,0.017504878342151642,0.029881345108151436
51,prime_000051,samples/prime_000051.npz,45,55,33,39,2,8,10,6,6,20.0,80.0,100.0,60.0,60.0,495.0,355.0,50.0,0.2666784836645019,360,medium,low,8.266315126093104e-05,0.18131494522094727,0.005344202276319265,0.017619488760828972
52,prime_000052,samples/prime_000052.npz,32,47,31,38,5,12,15,7,7,50.0,120.0,150.0,70.0,70.0,390.0,340.0,85.0,0.41787490351405276,735,large,low,0.0006609559641219676,0.21471041440963745,0.015871815383434296,0.031079789623618126
53,prime_000053,samples/prime_000053.npz,41,49,30,43,7,12,8,13,5,70.0,120.0,80.0,130.0,50.0,445.0,360.0,95.0,0.5306441686571812,520,medium,medium,0.0005158988642506301,0.1622975766658783,0.01370132528245449,0.024722017347812653
54,prime_000054,samples/prime_000054.npz,34,44,39,52,6,13,10,13,7,60.0,130.0,100.0,130.0,70.0,385.0,450.0,95.0,0.22092766305860373,910,large,low,0.00034580996725708246,0.11752460151910782,0.009936913847923279,0.018071051687002182
55,prime_000055,samples/prime_000055.npz,8,18,42,53,2,6,10,11,4,20.0,60.0,100.0,110.0,40.0,125.0,470.0,40.0,0.7300179942362007,440,medium,medium,0.00016151875024661422,0.5494932532310486,0.018169716000556946,0.06235210597515106
56,prime_000056,samples/prime_000056.npz,44,48,40,47,3,10,4,7,7,30.0,100.0,40.0,70.0,70.0,455.0,430.0,65.0,0.5167188110141196,196,small,medium,0.00010435999865876511,0.16568490862846375,0.005424242001026869,0.015504426322877407
57,prime_000057,samples/prime_000057.npz,48,53,36,52,3,7,5,16,4,30.0,70.0,50.0,160.0,40.0,500.0,435.0,50.0,0.5728554648628594,320,medium,medium,0.00012749902089126408,0.24760876595973969,0.010118290781974792,0.02968984842300415
58,prime_000058,samples/prime_000058.npz,21,32,26,30,7,11,11,4,4,70.0,110.0,110.0,40.0,40.0,260.0,275.0,90.0,0.2595026015820794,176,small,low,0.00010543964162934572,0.032396722584962845,0.0023340045008808374,0.0044709667563438416
59,prime_000059,samples/prime_000059.npz,34,47,20,29,5,8,13,9,3,50.0,80.0,130.0,90.0,30.0,400.0,240.0,65.0,0.625399983821123,351,medium,medium,0.0003029020153917372,0.2098149061203003,0.011901653371751308,0.028071342036128044
60,prime_000060,samples/prime_000060.npz,39,48,15,20,3,11,9,5,8,30.0,110.0,90.0,50.0,80.0,430.0,170.0,70.0,0.31209881792203537,360,medium,low,0.00012270984007045627,0.14821889996528625,0.005924134515225887,0.015633340924978256
61,prime_000061,samples/prime_000061.npz,38,49,26,41,5,9,11,15,4,50.0,90.0,110.0,150.0,40.0,430.0,330.0,70.0,0.5973423184596487,660,large,medium,0.0006329972529783845,0.3044329285621643,0.021062808111310005,0.04525724798440933
62,prime_000062,samples/prime_000062.npz,32,43,23,38,5,7,11,15,2,50.0,70.0,110.0,150.0,20.0,370.0,300.0,60.0,0.5155153238370365,330,medium,medium,0.00029196313698776066,0.15312980115413666,0.00939712580293417,0.021993620321154594
63,prime_000063,samples/prime_000063.npz,25,37,22,35,5,8,12,13,3,50.0,80.0,120.0,130.0,30.0,305.0,280.0,65.0,0.21200202942822155,468,medium,low,0.0002009304444072768,0.08588816970586777,0.005418685264885426,0.01222638227045536
64,prime_000064,samples/prime_000064.npz,11,19,31,42,5,11,8,11,6,50.0,110.0,80.0,110.0,60.0,145.0,360.0,80.0,0.516042892019789,528,medium,medium,0.00037871129461564124,0.2272399663925171,0.013943619094789028,0.030270596966147423
65,prime_000065,samples/prime_000065.npz,34,41,40,45,5,9,7,5,4,50.0,90.0,70.0,50.0,40.0,370.0,420.0,70.0,0.8155170920719643,140,small,high,0.00016731227515265346,0.1375081092119217,0.006109993439167738,0.015209863893687725
66,prime_000066,samples/prime_000066.npz,34,48,42,51,2,9,14,9,7,20.0,90.0,140.0,90.0,70.0,405.0,460.0,55.0,0.6819725455022155,882,large,medium,0.0005588889471255243,0.7262822985649109,0.033164218068122864,0.09186318516731262
67,prime_000067,samples/prime_000067.npz,20,26,14,19,7,14,6,5,7,70.0,140.0,60.0,50.0,70.0,225.0,160.0,105.0,0.5309290813280564,210,small,medium,0.0001865191152319312,0.06947512179613113,0.005310530308634043,0.009672346524894238
68,prime_000068,samples/prime_000068.npz,23,34,18,28,6,13,11,10,7,60.0,130.0,110.0,100.0,70.0,280.0,225.0,95.0,0.35709257161554037,770,large,low,0.000603297958150506,0.169220969080925,0.013799558393657207,0.025070475414395332
69,prime_000069,samples/prime_000069.npz,25,32,14,27,7,14,7,13,7,70.0,140.0,70.0,130.0,70.0,280.0,200.0,105.0,0.7502003376681262,637,large,high,0.0010601428803056479,0.25045356154441833,0.023189997300505638,0.038999900221824646
70,prime_000070,samples/prime_000070.npz,49,56,25,34,3,7,7,9,4,30.0,70.0,70.0,90.0,40.0,520.0,290.0,50.0,0.74094850222447,252,small,high,0.00015343568520620465,0.326048344373703,0.010317888110876083,0.03316200152039528
71,prime_000071,samples/prime_000071.npz,37,52,16,26,2,10,15,10,8,20.0,100.0,150.0,100.0,80.0,440.0,205.0,60.0,0.2996053824500068,1200,large,low,0.000365821470040828,0.3702373504638672,0.01956452988088131,0.050186242908239365
72,prime_000072,samples/prime_000072.npz,50,54,19,29,5,9,4,10,4,50.0,90.0,40.0,100.0,40.0,515.0,235.0,70.0,0.8236985833780905,160,small,high,0.0001341905735898763,0.14818277955055237,0.006844560615718365,0.017192542552947998
73,prime_000073,samples/prime_000073.npz,10,19,40,53,3,5,9,13,2,30.0,50.0,90.0,130.0,20.0,140.0,460.0,40.0,0.29770951802788603,234,small,low,3.749679308384657e-05,0.10984981805086136,0.0039584822952747345,0.013000031933188438
74,prime_000074,samples/prime_000074.npz,44,54,46,54,3,6,10,8,3,30.0,60.0,100.0,80.0,30.0,485.0,495.0,45.0,0.6531259801300221,240,small,medium,8.744490332901478e-05,0.2774779796600342,0.008727760054171085,0.029116488993167877
75,prime_000075,samples/prime_000075.npz,39,49,21,34,2,7,10,13,5,20.0,70.0,100.0,130.0,50.0,435.0,270.0,45.0,0.4613833876097478,650,large,low,0.0002812085731420666,0.42291486263275146,0.017105940729379654,0.05204553157091141
76,prime_000076,samples/prime_000076.npz,33,49,28,34,7,14,16,6,7,70.0,140.0,160.0,60.0,70.0,405.0,305.0,105.0,0.7671883421530394,672,large,high,0.0013449133839458227,0.2559421956539154,0.025177303701639175,0.04109052196145058
77,prime_000077,samples/prime_000077.npz,24,37,42,54,5,7,13,12,2,50.0,70.0,130.0,120.0,20.0,300.0,475.0,60.0,0.4047495737410994,312,medium,low,0.0001492639712523669,0.11848706752061844,0.006863072514533997,0.016609564423561096
78,prime_000078,samples/prime_000078.npz,22,30,10,17,7,11,8,7,4,70.0,110.0,80.0,70.0,40.0,255.0,130.0,90.0,0.3146116729601087,224,small,low,0.00010067876428365707,0.05118406563997269,0.003472686745226383,0.007008153013885021
79,prime_000079,samples/prime_000079.npz,34,43,23,29,4,8,9,6,4,40.0,80.0,90.0,60.0,40.0,380.0,255.0,60.0,0.42347446147392137,216,small,low,0.00012965833593625575,0.12920258939266205,0.005045527126640081,0.013835059478878975
80,prime_000080,samples/prime_000080.npz,26,32,32,41,5,13,6,9,8,50.0,130.0,60.0,90.0,80.0,285.0,360.0,90.0,0.7553752938433467,432,medium,high,0.0008008096483536065,0.2631150484085083,0.01671629585325718,0.033533114939928055
81,prime_000081,samples/prime_000081.npz,11,27,40,52,7,13,16,12,6,70.0,130.0,160.0,120.0,60.0,185.0,455.0,100.0,0.7767943475859534,1152,large,high,0.0013563944958150387,0.4230135679244995,0.042860593646764755,0.07254710793495178
82,prime_000082,samples/prime_000082.npz,14,28,20,28,2,10,14,8,8,20.0,100.0,140.0,80.0,80.0,205.0,235.0,60.0,0.4889169951911212,896,large,medium,0.0005075198714621365,0.5182384848594666,0.0239945650100708,0.06397242099046707
83,prime_000083,samples/prime_000083.npz,13,29,16,26,5,12,16,10,7,50.0,120.0,160.0,100.0,70.0,205.0,205.0,85.0,0.32197354155118835,1120,large,low,0.0005385758704505861,0.22795893251895905,0.01832187920808792,0.03532666712999344
84,prime_000084,samples/prime_000084.npz,21,36,39,45,3,5,15,6,2,30.0,50.0,150.0,60.0,20.0,280.0,415.0,40.0,0.6106980342954338,180,small,medium,0.00010109309368999675,0.1838979721069336,0.006366589106619358,0.0207794401794672
85,prime_000085,samples/prime_000085.npz,40,54,35,44,8,11,14,9,3,80.0,110.0,140.0,90.0,30.0,465.0,390.0,95.0,0.5586575889327045,378,medium,medium,0.00034324050648137927,0.1159820631146431,0.010361728258430958,0.018476109951734543
86,prime_000086,samples/prime_000086.npz,31,36,38,45,3,7,5,7,4,30.0,70.0,50.0,70.0,40.0,330.0,410.0,50.0,0.3382015953374333,140,small,low,5.819091165903956e-05,0.10005705803632736,0.002677633659914136,0.00890361052006483
87,prime_000087,samples/prime_000087.npz,21,30,20,34,8,12,9,14,4,80.0,120.0,90.0,140.0,40.0,250.0,265.0,100.0,0.8384858898147114,504,medium,high,0.0010143037652596831,0.21668468415737152,0.020956657826900482,0.03490332514047623
88,prime_000088,samples/prime_000088.npz,14,21,30,38,6,12,7,8,6,60.0,120.0,70.0,80.0,60.0,170.0,335.0,90.0,0.48024041514299914,336,medium,medium,0.00029027258278802037,0.12250832468271255,0.008110454306006432,0.016262058168649673
89,prime_000089,samples/prime_000089.npz,11,19,8,21,6,12,8,13,6,60.0,120.0,80.0,130.0,60.0,145.0,140.0,90.0,0.33173374706610836,624,large,low,0.0002308949624421075,0.13505993783473969,0.009966623038053513,0.02000737190246582
90,prime_000090,samples/prime_000090.npz,31,45,10,25,7,11,14,15,4,70.0,110.0,140.0,150.0,40.0,375.0,170.0,90.0,0.33762328013533394,840,large,low,0.0004649132606573403,0.14786183834075928,0.014156650751829147,0.02501227706670761
91,prime_000091,samples/prime_000091.npz,25,35,15,21,7,11,10,6,4,70.0,110.0,100.0,60.0,40.0,295.0,175.0,90.0,0.28582787744681937,240,small,low,0.0001257261319551617,0.048617638647556305,0.003451784374192357,0.006732451729476452
92,prime_000092,samples/prime_000092.npz,20,30,22,32,3,8,10,10,5,30.0,80.0,100.0,100.0,50.0,245.0,265.0,55.0,0.9401359666321893,500,medium,high,0.0006233563763089478,0.6245839595794678,0.02626173384487629,0.07304281741380692
93,prime_000093,samples/prime_000093.npz,24,40,10,19,4,7,16,9,3,40.0,70.0,160.0,90.0,30.0,315.0,140.0,55.0,0.25467305433393767,432,medium,low,0.00011732497659977525,0.11325329542160034,0.006043306551873684,0.015540297143161297
94,prime_000094,samples/prime_000094.npz,32,37,14,24,7,12,5,10,5,70.0,120.0,50.0,100.0,50.0,340.0,185.0,95.0,0.22248577147173138,250,small,low,0.00010962169471895322,0.036934178322553635,0.0027671484276652336,0.0051932861097157
95,prime_000095,samples/prime_000095.npz,35,51,41,50,6,9,16,9,3,60.0,90.0,160.0,90.0,30.0,425.0,450.0,75.0,0.34018155004890727,432,medium,low,0.00018112387624569237,0.10589835792779922,0.007636927533894777,0.015925677493214607
96,prime_000096,samples/prime_000096.npz,30,34,15,22,2,10,4,7,8,20.0,100.0,40.0,70.0,80.0,315.0,180.0,60.0,0.3506215002933768,224,small,low,0.00010397897131042555,0.16241033375263214,0.0043050386011600494,0.013556295074522495
97,prime_000097,samples/prime_000097.npz,28,36,51,56,3,11,8,5,8,30.0,110.0,80.0,50.0,80.0,315.0,530.0,70.0,0.4935588603957176,320,medium,medium,0.00018381979316473007,0.21874836087226868,0.00818578153848648,0.022287998348474503
98,prime_000098,samples/prime_000098.npz,34,40,21,29,2,6,6,8,4,20.0,60.0,60.0,80.0,40.0,365.0,245.0,40.0,0.3430163815493611,192,small,low,6.361432315316051e-05,0.17327554523944855,0.003822755767032504,0.014701844193041325
99,prime_000099,samples/prime_000099.npz,13,29,38,44,5,13,16,6,8,50.0,130.0,160.0,60.0,80.0,205.0,405.0,90.0,0.8564003824312791,768,large,high,0.0010964128887280822,0.4291272759437561,0.03309902921319008,0.06320470571517944
100,prime_000100,samples/prime_000100.npz,21,37,21,25,3,7,16,4,4,30.0,70.0,160.0,40.0,40.0,285.0,225.0,50.0,0.6376882308846322,256,small,medium,0.00019635207718238235,0.23046240210533142,0.009226664900779724,0.02665572427213192
101,prime_000101,samples/prime_000101.npz,34,45,14,27,3,8,11,13,5,30.0,80.0,110.0,130.0,50.0,390.0,200.0,55.0,0.3083189082120462,715,large,low,0.00023519482056144625,0.2434483915567398,0.012227327562868595,0.032225992530584335
102,prime_000102,samples/prime_000102.npz,38,52,40,49,4,9,14,9,5,40.0,90.0,140.0,90.0,50.0,445.0,440.0,65.0,0.2635840562114185,630,large,low,0.00017275882419198751,0.15786632895469666,0.008875089697539806,0.02133851684629917
103,prime_000103,samples/prime_000103.npz,25,38,45,49,6,13,13,4,7,60.0,130.0,130.0,40.0,70.0,310.0,465.0,95.0,0.5291417611042605,364,medium,medium,0.0003722872934304178,0.1258334219455719,0.009530714713037014,0.01794469729065895
104,prime_000104,samples/prime_000104.npz,36,41,39,55,7,14,5,16,7,70.0,140.0,50.0,160.0,70.0,380.0,465.0,105.0,0.49350642057866484,560,medium,medium,0.0005062104319222271,0.1384662538766861,0.01319157239049673,0.022259648889303207
105,prime_000105,samples/prime_000105.npz,45,56,9,18,3,9,11,9,6,30.0,90.0,110.0,90.0,60.0,500.0,130.0,60.0,0.8465511936417849,594,large,high,0.0003538480668794364,0.6103310585021973,0.026514509692788124,0.0736188068985939
106,prime_000106,samples/prime_000106.npz,32,37,14,29,4,7,5,15,3,40.0,70.0,50.0,150.0,30.0,340.0,210.0,55.0,0.5699028567623593,225,small,medium,0.0001638887042645365,0.15786011517047882,0.007140330038964748,0.019240709021687508
107,prime_000107,samples/prime_000107.npz,14,25,35,41,5,10,11,6,5,50.0,100.0,110.0,60.0,50.0,190.0,375.0,75.0,0.618304726696194,330,medium,medium,0.00029639332205988467,0.19366750121116638,0.01071884948760271,0.0243378859013319
108,prime_000108,samples/prime_000108.npz,45,55,31,41,2,7,10,10,5,20.0,70.0,100.0,100.0,50.0,495.0,355.0,45.0,0.4019032291376784,500,medium,low,0.00015625169908162206,0.3330260217189789,0.011343411169946194,0.03693676367402077
109,prime_000109,samples/prime_000109.npz,34,48,27,43,3,7,14,16,4,30.0,70.0,140.0,160.0,40.0,405.0,345.0,50.0,0.8807715709564767,896,large,high,0.0009587050299160182,0.727594256401062,0.04456043243408203,0.11136340349912643
110,prime_000110,samples/prime_000110.npz,37,47,12,28,8,12,10,16,4,80.0,120.0,100.0,160.0,40.0,415.0,195.0,100.0,0.49939745992248963,640,large,medium,0.0005582777666859329,0.15379829704761505,0.015529744327068329,0.025899279862642288
